"","V1","V2","Attractor","Grammaticality","Experiment"
"311",-1.9,8.43576482506732e-05,"Match","Grammatical","Experiment 1"
"312",-1.89,8.83947500796201e-05,"Match","Grammatical","Experiment 1"
"313",-1.88,9.26241384955484e-05,"Match","Grammatical","Experiment 1"
"314",-1.87,9.70557838674105e-05,"Match","Grammatical","Experiment 1"
"315",-1.86,0.000101700259481908,"Match","Grammatical","Experiment 1"
"316",-1.85,0.000106565677533033,"Match","Grammatical","Experiment 1"
"317",-1.84,0.000111664454351204,"Match","Grammatical","Experiment 1"
"318",-1.83,0.000117007165126848,"Match","Grammatical","Experiment 1"
"319",-1.82,0.000122604358456106,"Match","Grammatical","Experiment 1"
"320",-1.81,0.000128470514402686,"Match","Grammatical","Experiment 1"
"321",-1.8,0.000134616107897004,"Match","Grammatical","Experiment 1"
"322",-1.79,0.00014105522970682,"Match","Grammatical","Experiment 1"
"323",-1.78,0.000147803562267232,"Match","Grammatical","Experiment 1"
"324",-1.77,0.000154872739549057,"Match","Grammatical","Experiment 1"
"325",-1.76,0.00016228050768274,"Match","Grammatical","Experiment 1"
"326",-1.75,0.000170042825326497,"Match","Grammatical","Experiment 1"
"327",-1.74,0.000178174402684724,"Match","Grammatical","Experiment 1"
"328",-1.73,0.000186696325558349,"Match","Grammatical","Experiment 1"
"329",-1.72,0.000195624175554619,"Match","Grammatical","Experiment 1"
"330",-1.71,0.00020497777891333,"Match","Grammatical","Experiment 1"
"331",-1.7,0.000214780287306278,"Match","Grammatical","Experiment 1"
"332",-1.69,0.000225048485463806,"Match","Grammatical","Experiment 1"
"333",-1.68,0.000235807636418049,"Match","Grammatical","Experiment 1"
"334",-1.67,0.000247081668808955,"Match","Grammatical","Experiment 1"
"335",-1.66,0.000258891178215566,"Match","Grammatical","Experiment 1"
"336",-1.65,0.000271266664234413,"Match","Grammatical","Experiment 1"
"337",-1.64,0.000284231398058059,"Match","Grammatical","Experiment 1"
"338",-1.63,0.000297813125109674,"Match","Grammatical","Experiment 1"
